Obs,STU_ID,STRAT_ID,F1MATHSE,F1TXMBIR,F1TXM1IR,F2PS0601,F3TZCMTHGPA,F1A07B,F1A07E,F1S16A,F1S16B,F1S16C,F1S16D,F1S16E,F1S16F,F1S16G,F1S16H,F1S16I,F1S17A,F1S17B,F1S17C,F1S17D,F1S17E,F1S17F,F1S17G,F1S17H,F1S17I,F1S17J,F1S40N,F2B17A,F2B17B,F1SES1,F1RACE,F1SEX,F1MOTHED,F1FATHED,outcome,F2F1WT,F3F1PNLPSWT,Factor1,Factor2
4111,340206,340,1.811,49.41,66.07,0,3.5,6,6,1,1,3,1,3,3,1,1,3,1,1,3,3,3,1,1,3,1,1,3,2,2,-0.73,2,2,1,2,1,97.443,72.934,0.0203,-0.02593
4112,340207,340,.,20.57,.,2,1.75,.,6,1,1,1,1,2,1,1,1,0,2,1,2,2,1,2,1,1,1,1,3,2,1,-0.91,3,2,3,2,1,601.138,922.811,-0.10882,-0.01766
4113,340220,340,.,17.39,.,0,.,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,-0.2,3,2,2,5,1,0,0,-0.22516,-0.16943
4114,340225,340,.,44.68,.,1,3.75,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,-0.46,7,1,5,3,0,0,0,-0.22516,-0.16943
4115,340235,340,-1.525,26,29.12,1,.,6,6,2,1,3,1,3,0,1,1,0,0,2,3,2,0,1,1,1,2,0,3,2,2,-0.13,5,2,2,3,1,310.796,394.033,-0.12773,0.00547
4116,340262,340,.,.,45.18,2,4,6,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,-0.92,5,2,2,1,1,460.245,475.885,0.11218,0.1924
4117,341102,341,.,30.55,45,1,3.75,.,6,4,1,1,3,3,3,1,1,1,3,3,3,3,3,3,1,1,1,1,3,3,3,-0.03,5,1,1,5,1,542.726,572.547,-0.03659,0.13731
4118,341103,341,.,33.49,58.43,1,.,.,6,3,1,1,3,1,4,1,1,1,3,3,3,3,3,3,3,1,1,3,3,3,3,0.43,2,2,6,4,1,154.883,111.329,0.00732,0.10067
4119,341108,341,1.811,62.98,74.81,1,2.25,.,6,1,1,3,1,1,3,1,3,3,1,1,1,1,1,1,3,3,1,4,2,3,3,-0.49,2,1,2,2,1,90.544,174.933,0.00036,-0.09587
4120,341109,341,.,41.45,53.32,1,2,.,6,4,1,3,3,1,3,1,1,3,4,3,3,3,2,3,1,1,1,1,3,2,2,0.62,2,2,7,4,1,77.819,59.862,-0.03279,0.14438
4121,341116,341,-1.547,41.94,71.42,1,3.25,.,6,1,1,3,1,1,3,1,3,3,1,1,1,1,2,2,3,4,1,1,3,2,3,1.53,6,2,7,8,1,689.525,536.779,0.04095,-0.09803
4122,341117,341,-0.504,62.04,73.38,1,2,.,6,3,2,4,1,1,3,3,3,1,1,1,1,3,3,3,3,3,1,1,2,3,3,1.06,7,1,6,6,1,698.327,800.265,0.10278,-0.00785
4123,341118,341,0.528,62.22,69.32,1,2.75,.,6,1,1,3,1,1,3,4,3,4,3,3,3,3,3,3,3,3,3,1,3,2,2,1.38,2,2,7,7,1,84.793,80.693,0.07717,0.07302
4124,341119,341,.,39.25,40.3,0,.,.,6,1,1,3,1,1,4,3,3,3,1,1,1,1,1,3,3,4,3,3,3,3,3,-0.59,2,1,1,1,1,154.98,174.914,0.0548,-0.0578
4125,341121,341,.,78.81,78.41,1,3.25,.,6,1,1,3,3,1,3,1,3,4,1,1,2,2,2,2,3,3,1,1,3,3,3,-0.23,2,1,2,2,1,98.339,125.378,0.04108,-0.04007
4126,341122,341,.,73.36,74.8,1,.,.,6,3,1,1,3,1,3,1,1,3,1,0,0,1,1,3,3,1,1,3,3,2,2,-0.69,2,2,6,2,0,79.941,119.738,-0.05004,-0.03676
4127,341124,341,.,81.66,81.31,1,3.75,.,6,3,1,1,3,3,4,1,1,3,1,1,1,1,3,3,4,1,1,3,3,3,3,-0.65,2,2,2,2,1,83.219,75.815,0.00989,-0.0042
4128,341128,341,.,46.21,56.74,1,.,.,6,4,1,1,3,2,3,1,1,3,1,3,3,3,3,3,3,1,1,1,3,3,3,1.14,7,2,7,7,1,97.989,62.127,-0.00392,0.09036
4129,341129,341,.,47.33,58.43,1,.,.,6,4,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,,1.68,2,1,7,8,1,158.701,164.124,0.02795,0.13597
4130,341203,341,.,62.18,62.96,2,2.75,6,6,3,1,3,3,1,1,1,1,1,3,3,1,3,4,2,3,3,2,3,3,3,3,0.64,2,1,6,6,0,158.775,418.84,0.02351,0.07649
4131,341205,341,.,42.87,44.85,1,4,6,6,1,1,3,1,1,3,1,3,3,1,1,2,3,2,1,3,3,1,1,3,2,1,-0.81,2,1,1,2,1,175.978,207.7,0.04786,-0.06346
4132,341208,341,.,60.91,69.52,1,2.5,6,6,3,1,3,3,1,3,1,3,1,3,3,3,3,3,1,3,2,1,1,3,2,2,0.49,2,1,5,6,0,164.292,243.751,0.03175,0.08444
4133,341211,341,.,47.42,.,1,2,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,0.34,6,1,5,7,1,0,0,-0.22516,-0.16943
4134,341215,341,.,38.7,62.64,1,.,6,6,3,3,3,1,0,1,3,1,1,1,1,4,4,4,4,0,1,1,2,3,3,3,0.5,7,2,8,8,0,758.668,748.955,0.0196,0.07987
4135,341218,341,.,44.05,55.1,1,3,6,6,3,1,3,3,1,3,1,1,1,1,1,0,1,3,3,3,1,1,1,3,2,2,0.04,2,2,1,8,1,163.787,138.432,0.01012,-0.01978
4136,341219,341,.,47.65,.,0,3.25,.,6,1,1,4,1,2,1,1,1,2,1,1,1,0,0,1,1,2,1,1,3,2,3,-1.43,2,2,1,1,0,179.138,168.028,-0.11085,-0.07602
4137,341221,341,.,27.11,29.15,1,2.75,6,6,3,3,3,1,3,3,1,1,1,3,3,3,3,3,1,1,1,1,1,3,3,1,-0.38,2,2,1,4,1,202.039,284.203,-0.02186,0.09545
4138,341230,341,.,31.03,44.66,1,2.5,6,6,4,4,3,1,4,1,1,1,3,4,4,4,1,1,1,1,1,1,1,3,1,2,0.15,3,1,3,6,0,415.296,779.922,-0.13382,0.15204
4139,341234,341,.,30.65,46.07,1,3.75,6,6,1,1,3,1,3,3,1,1,1,1,1,4,4,4,1,3,1,1,1,3,1,2,0.97,5,2,7,3,0,504.779,800.806,0.05419,0.00038
4140,342102,342,-1.547,37.95,52.83,1,3,5,5,1,1,3,2,3,3,4,1,1,4,2,1,1,1,1,1,1,1,1,3,3,2,-0.13,6,1,5,2,1,718.671,380.059,-0.07969,0.05576
4141,342109,342,0.528,52.67,51.25,1,3.75,5,5,1,1,3,1,1,3,1,3,1,3,1,3,3,1,3,2,2,1,1,2,3,3,-0.35,2,1,3,2,0,125,200.787,0.01286,-0.00113
4142,342111,342,0.816,50.78,64.79,,2.75,5,5,1,1,1,1,3,3,1,3,1,1,1,2,1,2,1,2,2,1,1,3,,,-0.74,2,2,1,2,1,124.085,113.789,-0.03217,-0.06313
4143,342116,342,.,52.56,50.55,1,.,5,5,3,1,1,3,1,3,1,3,1,3,3,3,3,2,1,4,1,1,2,3,3,3,0.2,2,2,7,5,0,110.146,81.254,-0.0137,0.08552
4144,342121,342,0.761,22.75,36.2,2,2.75,5,5,1,1,3,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,4,3,2,3,-0.4,5,2,1,2,0,468.19,542.564,-0.0832,-0.04196
4145,342129,342,-0.242,36.63,43.82,2,1.75,5,5,1,1,3,1,3,3,1,1,1,0,1,1,3,1,3,1,1,1,4,3,2,1,-0.61,2,2,6,2,0,107.52,152.027,-0.02019,-0.0518
4146,342205,342,.,23.53,.,,.,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.15,5,1,5,5,1,0,0,-0.22516,-0.16943
4147,342209,342,-2.039,42.41,50.66,,.,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,0.47,5,1,7,5,0,248.58,578.031,-0.22516,-0.16943
4148,342211,342,0.25,26.44,30.32,0,2.5,6,6,2,1,3,1,3,3,1,1,1,4,3,3,3,1,3,1,1,1,1,3,3,2,-0.01,5,2,4,8,0,243.328,245.875,-0.05,0.08983
4149,342212,342,-1.296,46.41,53.09,2,3.25,6,6,1,1,3,1,3,3,1,1,1,1,3,3,1,3,1,1,1,1,1,3,3,3,-0.81,5,2,1,2,0,247.476,295.426,-0.04311,-0.00172
4150,342224,342,.,35.24,38.56,,4,.,6,1,1,2,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,3,,,-1.43,5,1,1,1,1,270.089,722.592,-0.10524,-0.0181
4151,342225,342,1.566,53.13,66.18,0,.,6,6,1,1,3,1,3,3,1,1,3,1,1,3,3,1,3,2,1,1,1,3,3,3,-0.42,3,1,2,2,1,237.728,370.056,-0.01377,-0.01344
4152,342226,342,-0.264,37.38,50.66,1,1.5,6,6,1,1,3,1,3,3,1,1,1,3,1,2,2,2,2,1,1,1,1,2,2,2,-0.39,5,2,3,1,1,239.522,265.692,-0.03536,-0.00004
4153,342230,342,.,40.3,57.71,,1,.,6,2,1,3,1,3,3,1,1,1,3,2,2,3,1,1,1,1,1,1,3,,,0.74,3,2,6,5,0,0,521.404,-0.05713,0.03817
4154,343104,343,0.757,46.66,55.11,1,3.75,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,3,2,-0.87,3,2,1,2,0,158.94,188.386,0.03634,-0.02378
4155,343105,343,0.528,51.87,57.36,1,1.75,6,6,1,1,4,1,1,4,1,3,0,1,1,3,3,3,3,1,1,1,1,3,2,3,-1.12,2,2,1,2,0,79.472,113.097,0.06538,-0.0261
4156,343106,343,-0.248,57.9,62.63,1,.,6,6,1,1,4,1,1,4,1,3,3,1,1,3,3,1,3,3,1,1,3,3,3,3,0.49,3,2,2,6,0,172.008,238.176,0.04967,-0.03571
4157,343107,343,-0.001,56.65,65.77,1,2.25,6,6,1,1,3,1,0,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,2,-0.21,6,1,3,7,1,262.636,309.322,0.01976,-0.03459
4158,343109,343,-0.51,48.12,54.07,1,4,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,3,3,0.1,3,2,3,2,1,170.555,215.273,0.03634,-0.02378
4159,343112,343,-0.013,58.2,61.59,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,2,1,-0.43,2,2,2,6,0,76.434,85.619,0.03634,-0.02378
4160,343114,343,-1.013,61.91,65.65,1,.,6,6,1,1,4,1,1,4,1,3,3,1,1,1,3,3,3,1,3,1,1,3,2,3,1.06,7,1,7,6,1,702.198,394.078,0.09107,-0.06341
4161,343116,343,1.566,46.42,51.22,0,.,6,6,1,1,4,1,1,4,1,3,3,1,1,4,3,1,3,1,1,1,3,3,1,3,-0.41,3,2,5,2,1,167.712,208.787,0.02435,-0.01458
4162,343117,343,1.27,37.89,60.37,2,4,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,1,3,1,1,1,1,3,3,3,-0.54,3,2,1,5,1,159.874,212.172,-0.00368,-0.02504
4163,343121,343,1.024,50.58,51.13,1,2.75,6,6,1,1,3,1,1,3,1,3,1,1,1,2,3,2,3,1,1,1,3,3,3,2,-0.06,3,2,5,5,0,159.932,218.639,0.01734,-0.03719
4164,343122,343,-0.275,55.42,62.27,1,3.5,6,6,1,1,4,1,1,4,1,3,3,1,1,3,3,3,1,1,1,1,3,3,1,3,-0.51,7,2,2,2,1,328.848,559.959,0.0479,-0.03227
4165,343123,343,0.528,60.6,52.93,1,.,6,6,1,1,4,1,3,4,1,3,1,1,1,3,3,3,3,1,1,1,1,3,3,2,-0.66,2,2,4,2,0,77.345,0,0.0636,-0.01682
4166,343124,343,-1.296,54.95,56.8,1,4,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,2,1,0.69,3,1,6,5,0,167.653,518.861,0.01887,-0.02995
4167,343125,343,-1.253,44.1,41.31,1,1,6,6,1,1,4,1,1,4,1,3,3,1,1,3,3,3,3,1,1,1,1,,2,3,-1.09,3,2,2,2,0,167.55,336.099,0.06538,-0.0261
4168,343127,343,0.806,48.43,47.07,1,2.25,6,6,1,1,3,1,1,2,1,3,1,1,1,3,3,3,2,1,1,1,1,3,2,1,-1.09,2,2,2,2,0,76.897,0,0.01145,-0.02455
4169,343128,343,1.303,38.68,48.39,1,2,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,1,1,0.69,3,2,6,6,0,155.373,230.331,0.03634,-0.02378
4170,343131,343,1.811,62.09,75.61,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,3,2,-0.85,5,1,2,2,1,71.308,94.248,0.03634,-0.02378
4171,343215,343,.,50.41,.,,1.5,.,6,2,2,3,1,3,1,1,1,1,2,2,2,3,0,2,2,1,1,1,3,,,0.43,3,1,6,2,1,0,521.237,-0.08306,0.02951
4172,343226,343,-1.788,44.99,52.01,0,.,6,6,1,1,3,0,3,3,1,1,1,3,3,3,3,0,1,1,1,1,1,3,2,2,-0.53,3,2,1,3,0,332.517,379.565,-0.08146,0.03445
4173,344202,344,-2.039,22.3,22.45,,2,6,6,3,2,2,2,3,3,1,1,1,3,1,2,2,2,2,1,1,1,2,3,,,-0.45,5,2,1,5,0,518.033,819.663,-0.05042,0.05367
4174,344203,344,1.811,51.52,60.57,1,4,6,6,4,3,3,1,3,3,4,3,1,4,2,4,4,4,2,1,1,1,4,3,2,3,-0.31,2,1,1,6,1,129.598,156.688,0.04848,0.16708
4175,344205,344,.,26.88,39.3,1,3,6,6,4,2,3,1,3,3,1,1,1,4,3,3,3,2,2,1,1,1,1,3,2,1,-0.59,7,1,2,1,1,727.69,902.651,-0.04027,0.12617
4176,344215,344,.,39.37,.,2,0,.,6,1,1,3,1,2,2,1,1,1,1,2,2,0,0,1,1,1,1,1,3,1,1,-1.25,3,1,1,1,0,703.446,929.079,-0.12604,-0.04395
4177,344221,344,-0.477,35.67,46.54,2,1.25,6,6,1,1,3,0,3,1,1,3,1,1,1,4,3,1,1,1,1,1,1,3,3,2,-0.27,5,1,2,1,0,568.872,472.876,-0.05561,-0.01943
4178,345105,345,.,33.96,.,0,.,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,0.45,5,1,3,2,1,0,0,-0.22516,-0.16943
4179,345110,345,0.499,58.79,56.09,1,1,6,6,1,1,3,1,3,4,1,1,1,1,1,3,3,1,3,1,1,1,1,3,1,1,-0.02,2,2,4,2,1,100.507,90.483,-0.00977,-0.01158
4180,345116,345,.,23.22,.,0,.,.,6,4,3,3,1,2,1,3,1,1,4,0,2,2,2,2,1,1,1,1,3,2,3,0.36,3,1,5,8,0,358.396,0,-0.06124,0.08489
4181,345117,345,1.811,41.4,47.44,1,.,6,6,1,1,3,1,3,3,1,3,1,1,1,3,3,3,3,1,1,1,1,3,3,3,0.06,3,2,5,2,1,237.949,340.123,0.03456,-0.0145
4182,345124,345,0.544,51.59,59.21,1,4,6,6,1,1,3,1,1,3,1,3,1,1,1,3,1,3,3,1,3,1,1,3,3,1,-0.84,2,2,6,1,1,99.133,0,0.03153,-0.05453
4183,345125,345,-0.755,32.71,33.06,2,3,6,6,3,3,3,1,3,3,1,1,1,3,3,3,3,3,3,1,1,1,1,2,2,1,0.9,2,2,6,5,0,97.961,0,-0.00438,0.10162
4184,345203,345,-0.522,26.6,30.68,,1,6,6,4,1,1,1,4,4,1,1,1,4,1,4,4,4,1,1,1,1,4,3,,,0.04,3,1,2,6,0,0,298.613,0.00323,0.11209
4185,345209,345,.,64.38,69.43,1,2.25,6,6,1,1,3,1,1,3,1,3,1,1,1,1,3,1,3,1,3,1,3,3,3,2,-0.54,2,1,1,1,0,103.166,50.115,0.02202,-0.06235
4186,345215,345,-1.296,49.02,55.78,,2.5,6,6,1,1,3,1,1,3,1,3,1,0,0,0,0,0,0,3,1,1,0,3,,,0.4,2,1,6,6,1,0,72.14,-0.05598,-0.14283
4187,345217,345,-1.006,46.52,48.21,2,2.25,6,6,3,1,3,2,1,3,1,1,1,3,3,3,1,3,3,3,1,1,1,3,2,2,-0.19,2,2,6,1,0,82.402,72.235,-0.01095,0.06907
4188,345228,345,-0.73,54.25,58.94,0,2.75,6,6,1,1,3,1,3,3,1,1,1,1,1,3,3,3,2,1,1,1,1,3,3,2,-0.57,3,2,5,2,0,208.88,202.466,0.00536,-0.01109
4189,345229,345,1.302,42.11,49.23,1,.,6,6,1,1,3,0,3,3,0,2,0,1,2,2,2,2,1,2,1,1,1,3,3,1,-1.24,5,1,5,1,1,288.334,294.543,-0.02177,-0.05508
4190,346104,346,.,60.39,.,1,.,.,6,1,1,1,1,1,3,1,1,1,1,3,3,3,1,1,1,1,1,1,3,1,1,0.44,7,2,5,5,0,541.821,717.232,-0.0786,0.00675
4191,346105,346,0.528,21.29,40.58,0,2.75,5,5,3,1,3,1,1,3,1,1,3,1,1,2,3,3,3,1,1,1,1,3,2,1,0.46,2,1,6,6,1,112.974,217.535,0.01357,0.00332
4192,346106,346,0.25,31.25,32.01,2,2.5,5,5,3,1,3,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,3,3,2,2,-1.29,7,1,1,2,0,423.771,516.304,-0.06964,0.02303
4193,346107,346,-0.755,40,46.7,1,2,5,5,1,1,3,1,3,3,1,1,1,1,1,3,2,3,2,3,1,1,1,3,2,1,1.11,7,2,6,8,0,335.671,258.913,0.01542,-0.02894
4194,346113,346,-0.771,63.52,61.48,1,3,5,5,1,1,3,1,3,4,3,3,3,1,1,1,3,3,3,3,1,1,1,2,3,3,0.29,7,1,4,3,1,376.098,428.358,0.08214,-0.02793
4195,346119,346,-0.493,31.75,47.59,0,3.25,5,5,1,1,3,1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,4,3,3,1,-0.13,5,2,3,1,0,323.68,317.347,-0.10221,-0.05537
4196,346121,346,-1.296,37.83,42.25,1,3,5,5,1,1,3,1,1,3,1,1,3,1,1,3,3,3,3,1,1,1,1,3,2,2,0.07,7,2,4,3,0,380.201,567.069,0.01587,-0.01729
4197,346122,346,1.068,63.25,72.84,1,3.25,5,5,1,1,3,1,1,3,1,4,1,1,1,1,3,1,3,3,3,1,1,3,2,3,0.97,7,2,8,3,1,359.947,0,0.05657,-0.07395
4198,346123,346,.,60.69,.,2,2,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,-0.35,7,2,4,2,1,0,0,-0.22516,-0.16943
4199,346125,346,-0.248,38.24,47.8,2,3.75,5,5,1,1,3,1,1,3,1,3,3,1,3,3,1,1,3,1,1,1,1,3,3,2,-0.15,7,1,1,4,0,727.69,303.269,-0.0434,-0.01259
4200,346204,346,.,54.91,54.5,1,3,5,5,4,1,3,3,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,2,3,3,0.71,3,2,3,7,0,385.395,893.513,-0.04136,0.13265
4201,346205,346,.,66.33,68.9,1,.,5,5,4,1,3,3,1,2,1,1,1,3,3,3,3,3,3,2,1,1,1,3,2,3,0.25,7,2,4,6,1,438.117,477.885,-0.01305,0.12616
4202,346207,346,.,53.76,63.84,1,4,5,5,3,1,1,3,1,4,1,1,1,1,1,3,3,3,3,3,1,1,1,2,3,3,0.92,7,1,6,6,1,449.915,486.275,0.02601,0.03526
4203,346209,346,0.806,49.19,58.44,0,3,5,5,1,1,3,1,3,3,1,3,1,1,2,2,2,2,2,1,1,1,1,2,2,3,0.32,7,2,2,2,0,458.673,376.75,-0.01305,-0.02477
4204,346210,346,-0.275,75.65,67.06,1,1.25,5,5,1,1,3,1,3,3,1,1,1,3,1,2,2,2,3,3,1,2,1,3,2,2,0.34,6,1,7,6,0,437.877,348.921,-0.00037,0.00334
4205,346213,346,.,53.72,61.91,1,4,5,5,3,1,3,3,1,1,1,1,1,1,2,2,2,2,3,1,2,1,2,3,3,2,0.9,7,2,2,8,0,428.586,396.555,-0.04805,0.03748
4206,346214,346,-1.002,63.51,50.72,2,2.5,5,5,0,0,3,0,3,1,0,0,0,1,1,3,1,3,3,1,1,1,1,3,3,1,0.91,7,1,4,7,0,480.448,491.009,-0.05897,-0.06754
4207,346220,346,.,52.16,56.96,2,.,5,5,3,1,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,2,2,0.71,7,1,7,3,0,445.236,549.385,-0.11038,0.05909
4208,346226,346,1.313,49.78,57.01,1,.,5,5,1,1,3,1,3,3,1,1,1,1,1,3,1,3,3,3,1,1,1,3,2,2,0.85,7,2,3,7,0,413.636,518.121,0.00991,-0.03536
4209,347102,347,0.526,67.43,58.37,1,3.25,6,6,3,1,3,1,3,3,1,1,1,1,1,3,3,1,3,3,1,3,1,3,3,1,1.36,7,2,6,8,0,444.194,426.683,-0.00105,0.03307
4210,347103,347,1.564,36.49,38.35,,4,6,6,1,1,3,1,3,3,1,1,1,1,1,3,3,3,3,1,1,1,1,,,,-1.54,7,2,1,2,0,0,535.72,0.01409,-0.00801
4211,347104,347,-2.039,51.69,48.34,2,2,6,6,1,1,3,3,3,1,1,1,1,1,3,3,3,1,1,1,1,1,1,3,2,2,-0.56,7,1,2,2,0,488.608,564.839,-0.08822,0.05046
4212,347105,347,0.528,46.5,47.03,2,2,6,6,1,1,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,-0.31,7,2,2,2,0,452.732,495.301,-0.16079,-0.11268
4213,347106,347,-0.755,60.88,66.4,1,2,6,6,1,1,3,1,1,3,1,3,1,1,1,1,3,1,3,3,3,1,4,3,3,2,1.21,7,2,6,7,1,445.981,445.969,0.04633,-0.0707
4214,347107,347,-0.51,50.62,56.16,0,2,6,6,1,1,3,1,1,3,1,3,2,1,1,3,3,3,3,1,1,1,1,3,3,3,-0.74,7,1,3,1,0,460.144,459.107,0.03634,-0.02378
4215,347108,347,-0.504,40.51,21.45,,2.5,6,6,1,1,3,1,3,3,1,1,1,1,1,3,3,1,1,1,1,1,1,3,,,-0.07,7,2,4,2,1,0,423.578,-0.0434,-0.01544
4216,347109,347,-0.013,53.6,54.79,2,3,6,6,1,1,3,1,3,3,1,3,1,1,1,3,3,3,3,3,1,1,1,3,2,2,-0.85,7,1,1,2,1,486.964,526.015,0.05888,-0.02285
4217,347115,347,1.27,71.29,71.19,1,.,6,6,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,3,1,1,4,3,3,3,0.92,7,2,6,6,1,442.346,408.072,-0.01045,-0.08413
4218,347116,347,0.528,51.68,64.69,2,3.5,6,6,3,1,3,1,3,3,1,3,1,3,1,3,3,1,3,1,3,1,1,3,3,1,-0.51,7,1,2,2,0,478.621,580.061,0.00746,0.03984
4219,347120,347,-1.269,51.81,64.77,2,3.75,6,6,1,1,3,1,3,3,1,3,1,1,3,2,2,1,2,3,1,1,1,3,3,3,0.93,7,2,6,7,1,449.066,472.836,-0.01435,-0.01802
4220,347122,347,.,33.26,38.07,0,0.5,6,6,4,1,3,3,4,1,1,3,1,3,3,3,3,1,1,1,1,1,1,3,2,2,-0.06,3,2,4,3,0,656.331,609.453,-0.08106,0.13265
4221,347123,347,-1.033,60.22,71.62,0,4,6,6,1,1,3,1,3,3,1,3,1,1,1,3,3,3,3,3,1,1,1,3,1,3,0.74,7,2,6,5,1,439.987,435.361,0.05888,-0.02285
4222,347205,347,-0.199,38.24,42.24,1,2.25,6,6,1,1,3,1,3,3,1,1,3,0,0,3,3,3,0,1,0,0,0,2,2,2,0.41,2,1,4,6,0,100.517,166.889,-0.01655,-0.05275
4223,347220,347,0.523,18.92,20.86,2,.,6,6,1,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,-0.07,3,2,1,3,1,324.227,288.757,-0.13101,-0.01523
4224,347223,347,-1.284,42.93,44.6,0,0.75,6,6,1,1,4,1,1,4,1,1,1,1,3,3,1,3,1,1,1,1,1,3,2,2,-0.5,3,2,3,3,0,499.478,673.495,-0.0123,-0.01332
4225,348103,348,.,46.96,55.23,1,1,6,5,1,1,3,1,3,3,1,3,1,1,1,3,2,3,2,3,1,1,1,3,2,2,0.74,7,2,6,4,1,653.254,532.033,0.03589,-0.03544
4226,348105,348,-0.755,57.86,64.39,1,.,6,5,1,1,3,1,1,4,1,3,1,1,1,3,3,3,3,1,4,1,1,3,3,2,0.24,2,2,6,1,1,100.153,87.106,0.08803,-0.04372
4227,348106,348,0.232,54.85,47.65,1,3.25,6,5,1,1,3,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,3,2,2,0.16,7,2,4,4,0,655.625,580.225,-0.05463,0.01602
4228,348113,348,-0.504,64.86,69.46,1,3,6,5,1,1,3,1,1,3,1,1,1,1,1,3,3,3,3,3,3,1,1,3,2,1,0.56,3,2,4,7,1,23.041,24.062,0.06388,-0.03739
4229,348115,348,-0.755,56.59,55.83,2,3,6,5,1,1,3,1,3,2,1,1,1,1,0,3,3,3,2,1,1,1,1,3,2,2,1.25,7,1,6,7,0,669.726,0,-0.00519,-0.02451
4230,348117,348,0.479,44.53,49.3,1,2,6,5,1,1,3,1,3,3,1,1,1,3,1,3,1,3,1,1,1,3,1,3,2,1,0.48,3,2,6,7,0,24.064,33.135,-0.03547,0.01808
4231,348119,348,1.024,58.86,61.55,2,.,6,5,2,2,4,1,4,3,1,1,2,2,2,3,2,3,0,4,0,1,1,3,3,3,0.21,7,2,6,6,0,696.065,549.138,0.00101,0.02603
4232,348123,348,-0.51,56.4,63.18,1,.,6,5,1,1,3,1,3,3,1,3,1,1,1,1,3,3,3,3,3,1,1,3,3,3,0.67,7,2,6,6,0,620.999,785.33,0.08457,-0.06016
4233,348126,348,-1.033,40.78,38.85,1,2,6,5,4,4,3,1,3,4,1,1,1,4,4,3,4,3,4,1,1,1,1,3,2,2,1.53,3,2,7,8,0,23.282,21.741,0.02552,0.16671
4234,348128,348,.,73.59,.,1,3.25,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,0.23,1,1,2,4,1,0,0,-0.22516,-0.16943
4235,348129,348,.,44.97,53.63,1,.,6,5,3,1,3,3,1,3,1,1,1,3,3,2,2,2,2,4,3,1,1,3,3,2,1.02,2,2,7,7,0,117.951,261.34,0.01077,0.06106
4236,348133,348,.,54.16,53.35,,2,.,6,1,1,3,1,3,1,1,1,3,1,1,3,3,1,1,1,1,1,3,3,,,0.01,5,2,3,2,0,23.847,24.327,-0.07571,-0.01081
4237,348203,348,-0.51,56.92,59.38,1,3.25,5,5,1,1,4,1,4,3,1,1,3,0,0,4,0,4,3,0,0,0,1,3,3,2,0.01,7,2,2,6,1,362.225,305.433,-0.01426,-0.04977
4238,348206,348,.,59.13,60,1,.,5,5,3,3,3,1,3,3,1,3,1,3,3,2,2,2,3,3,3,1,1,3,2,3,1.21,2,1,6,7,1,138.474,133.779,0.03083,0.05211
4239,348209,348,.,43.76,54.7,1,3,.,6,1,1,3,1,3,3,1,1,2,1,3,3,3,3,3,1,1,1,1,3,2,2,0.23,6,2,2,6,0,366.92,474.798,0.00286,0.02345
4240,348212,348,0.528,68,77.11,1,2.75,5,5,1,1,3,1,1,3,1,4,1,1,1,1,3,1,3,3,3,1,1,3,3,1,1.53,7,1,7,8,0,357.645,297.717,0.05657,-0.07395
